listing_id,title,description,listing_type,property_type,category_original,district,location,address,price_lkr,price_basis,sale_total_price_lkr,rent_monthly_lkr,bedrooms,bathrooms,land_size_perches,house_size_sqft,property_size_sqft,land_type,property_subtype,features,posted_date,deactivation_date,geo_region,is_verified,membership_level,member_since,contact_number
residential-land-for-sale-in-kottawa-for-sale-colombo-70,Residential land for sale in kottawa,🟢 kottawa Lands starting from 6perches onward ✅ Ideal land for investment or to build your dream home. ✅ Located only 10 minutes from kottawa town and Homagama town....,sale,land,Land,Colombo,Kottawa,kottawa road dolekade,1550000.0,per_perch,11005000.0,,,,7.1,,,"Residential, Other",,,2022-11-21,2022-12-29,LK-11,true,premium,July 2022,Not mentioned in ad
for-rent-for-rent-kandy-661,Warehouse for Rent in Nattharampotha,150sqft store room For rent,rent,commercial,Commercial Property Rentals,Kandy,Kundasale,"No:42/1,Arangala, Nattharampotha.",6000.0,per_month,,6000.0,,,,,150.0,,Warehouse / Storage,,2022-11-27,2023-01-26,LK-21,false,free,,Not mentioned in ad
2-rooms-fully-furnished-apartment-for-rent-dehiwala-capt1-2-8-for-rent-colombo,2 Rooms Fully Furnished Apartment For Rent Dehiwala (capt1/2/8),Please Note -- We Are Given Only For Families. Parties and Prostitution Prohibited • 2 Rooms Fully Furnished • 2 Attached Washrooms • 1 Common Washroom • Master B...,rent,holiday_rental,Holiday & Short-Term Rental,Colombo,Dehiwala,1/8 Mihindu Road Dehiwala,9000.0,per_night,,,2,3,,,,,Apartment,,2023-02-01,2023-04-02,LK-11,false,premium,August 2022,Not mentioned in ad
best-lands-for-sale-in-hanwella-for-sale-colombo-10,Best lands for sale in Hanwella,හංවැල්ල නගරයේ අගනා බිම් කොටස් රැසක්.. අදම ඔබේ කරගන්න. ️නේවාසික බිම්කොටස් ♣️ පුළුල් ප්‍රවේශ මාර්ගග ♣️නිරවුල් ඔප්පු ♣️විදුලිය ♣️නල ජලය ගෙවීමේ ක්‍රම -: මුලු වටිනා...,sale,land,Land For Sale,Colombo,Hanwella,"Hanwella, Dompe",275000.0,per_perch,3025000.0,,,,11.0,,,"Residential, Other",,,2023-01-12,2023-03-12,LK-11,true,premium,July 2022,Not mentioned in ad
two-story-luxury-house-rent-in-nawala-for-rent-colombo,TWO Story LUXURY House Rent In Nawala,NAWALA LUXURY TWO STORY HOUSE AVAILABLE FOR RENT. # 4 BED ROOMS # 3 BED ROOMS WITH AC # 4 BATH ROOMS WITH HOT WATER # 2800 SQFT # ALL THE FACILITIES INCLUDED # PARKIN...,rent,house,House Rentals,Colombo,Nawala,NAWALA ROAD,125000.0,per_month,,125000.0,4,4,12.0,2800.0,,,,,2023-01-19,2023-03-20,LK-11,false,premium,May 2017,Not mentioned in ad
brand-new-modern-house-for-sale-in-kottawa-piliyandala-for-sale-colombo-3,Brand New Modern House for sale in Kottawa Piliyandala,පොල්ගස්ඕවිට - කොට්ටාව පාරට ආසන්නයෙන් සියබලගොඩින් පර් 7ක ඉදිවුණු නිදන කාමර 3ක් සහ නාන කාමර 2ක් ඇති නවීනතම නිවසක් විකිණීමට. මෙය නවීන පන්නයට සැදු නිවසක් වන අතර ප්‍රධාන නිදන...,sale,house,Houses For Sale,Colombo,Kottawa,Polgasowita - Kottawa road,21000000.0,total,21000000.0,,3,2,7.0,1405.0,,,,,2023-03-07,2023-05-06,LK-11,true,premium,July 2020,Not mentioned in ad
land-for-sale-pamunugama-for-sale-gampaha-195,Land for sale Pamunugama,"නාගරික සියලු පහසුකම් සහිත පදිංචියටත් ආයෝජනයටත් වටිනා බිම්කොටස් සුපිරි වෙළෙඳසැල්, පොදු වෙළෙඳ පොළ 1km අවටින්..... රාජ්‍ය බැංකු සහ පුද්ගලික බැංකු. රටේ බොහොමයක් ප්‍රදේශ වල...",sale,land,Land,Gampaha,Ja-Ela,Pamunugama,550000.0,per_perch,3712500.0,,,,6.75,,,Residential,,,2022-11-10,2023-01-09,LK-12,true,premium,June 2021,Not mentioned in ad
diyagama-land-for-sale-for-sale-colombo-7,Diyagama - Land For Sale,ඉඩමක සිහිනයක් දකින ඔබ වෙනුවෙන්ම දියගමත් තලගලත් මැදිව 128 බස් පාරට ලගින්ම අතේ ඇති මුදලට වැසි රැසකට,sale,land,Land For Sale,Colombo,Homagama,Diyagma,3920000.0,total,3920000.0,,,,6.0,,,"Agricultural, Commercial, Residential, Other",,,2023-02-07,2023-04-08,LK-11,true,premium,June 2021,Not mentioned in ad
luxury-2-story-house-for-sale-with-furniture-piliyandala-kesbewa-for-sale-colombo-4,Luxury 2 Story house for sale with furniture - Piliyandala Kesbewa,"Luxury 2 Story House for sale in Makandana - Piliyandala. 6.7 perches land, 3 Bedrooms 2 bathrooms (Master bedroom has attached bathroom). Garden wall surrounded. roller...",sale,house,Houses For Sale,Colombo,Piliyandala,Makandana,25500000.0,total,25500000.0,,3,2,6.7,1858.0,,,,,2023-01-31,2023-04-01,LK-11,true,premium,July 2020,Not mentioned in ad
beliatt-nv-iddm-kotts-kr-vikinniimtt-for-sale-hambantota,බෙලිඅත්ත නව ඉඩම කොටස් කර විකිණීමට,බෙලිඅත්ත නව ඉඩම විකිණීමට අරංවල පාසල අසල නව කැබලි කල ඉඩම විකිණීමට පොලී රහිතව මාස 30 ක් දක්වා ගෙවන්න ගන්න දැන්ම අමතන්න,sale,land,Land For Sale,Hambantota,Beliatta,බෙලිඅත්ත,200000.0,per_perch,2000000.0,,,,10.0,,,Residential,,,2022-12-13,2023-02-11,LK-33,false,premium,August 2021,Not mentioned in ad
viittu-virrpnnnaikku-for-sale-kilinochchi,House For Sale-kilinochchi,good place paranthan sivapuram 3 room and hall and கிச்சின் town to 2 km best price call me,sale,house,Houses For Sale,Kilinochchi,Kilinochchi City,paranthan,2600000.0,total,2600000.0,,3,1,4.0,1089.0,,,,,2022-12-24,2023-02-21,LK-42,false,free,,Not mentioned in ad
room-and-annex-for-rent-kurunegala,Room for Rent in Kuliyapitiya,"කුලියාපිටිය නගරය විනාඩි 5යි. ගැහැණු ළමුන් හෝ පිරිම් ළමුන් ට කාමර පහසුකම් ඇත. තනි කාමරයක් නම් 8000/= , දෙදෙනකු සදහා නම් 12500/=",rent,room_annex,Room & Annex Rentals,Kurunegala,Kuliyapitiya,කුලියාපිටිය,8000.0,per_month,,8000.0,1,1,,,,,Portion,"Private entrance, Lower, Upper",2023-01-11,2023-03-12,LK-61,false,free,,Not mentioned in ad
valuable-2-store-house-for-sale-in-homagama-pr653-for-sale-colombo,Valuable 2 Store House for Sale in Homagama (PR653),(PR653)VALUBLE 2 Store HOUSE FOR SALE IN HOMAGAMA Layanal jayasenha mw Araliya laef Homagama godagama Road HIGHLY RESIDENTIAL AREA Face to 20 Feet Road. ◼ 3 BEDROOM...,sale,house,Houses For Sale,Colombo,Homagama,Homagama godagama Road,18000000.0,total,18000000.0,,3,2,6.0,1900.0,,,,,2022-11-24,2023-01-20,LK-11,true,premium,November 2022,Not mentioned in ad
residential-lands-in-kiriwathuduwe-for-sale-colombo,Residential lands in kiriwathuduwe,Commercial or Residential Lands plots in kiriwathuduwe homagama Kiriwathuduwe 1.5km Abagashandiya bus route facing Diyagama town 2.5km 30 feat road. Electricity Tele...,sale,land,Land,Colombo,Homagama,abagashandiya kiriwathuduwe homagama,650000.0,per_perch,4225000.0,,,,6.5,,,"Commercial, Residential, Other",,,2022-11-18,2023-01-17,LK-11,true,premium,November 2019,Not mentioned in ad
fully-furnished-holiday-home-at-ratnapura-town-for-rent-ratnapura,Fully Furnished Holiday Home at Ratnapura Town,"Beautiful fully furnished house located in the heart of a forest reserve in Rathnapura. 5 minute walk to the Cargills supermarket and a wide range of restaurants, banks...",rent,holiday_rental,Holiday & Short-Term Rental,Ratnapura,Ratnapura City,,8500.0,per_night,,,2,2,,,,,Holiday bungalow,,2022-12-10,2023-02-06,LK,false,free,,Not mentioned in ad
1st-floor-house-for-rent-in-dehiwale-for-rent-colombo-25,1st Floor House For Rent in Dehiwale,Upstairs House For Rent in Dehiwale Liyanage Road 3.Bedroom 2.Bathroom Kitchen and living Area With Car Park Advance 06 Months Half Months Broker Fee,rent,house,House Rentals,Colombo,Dehiwala,Liyanage Road Dehiwale,76000.0,per_month,,76000.0,3,2,7.0,1400.0,,,,,2023-02-13,2023-04-14,LK-11,false,premium,June 2019,Not mentioned in ad
